Time,RXbytes,RXpackets,TXbytes,TXpackets
Wed Jul 24 11:01:01 EEST 2019,41754760431,70025639,411334696721,305638056
Wed Jul 24 12:01:01 EEST 2019,42018205143,70841734,423513568955,314100193
Wed Jul 24 13:01:01 EEST 2019,42348379229,71899842,435325759018,322500480
Wed Jul 24 14:01:01 EEST 2019,42559520133,72706893,446312593637,330163291
Wed Jul 24 15:01:01 EEST 2019,42710674331,73377098,457200746549,337654593
Wed Jul 24 16:01:01 EEST 2019,42999723349,74379712,469230989073,346129626
Wed Jul 24 17:01:02 EEST 2019,43350570141,75475482,481373750368,354708767
Wed Jul 24 18:01:01 EEST 2019,43559829527,76360673,493308126948,363061579
Wed Jul 24 19:01:01 EEST 2019,43722795362,77082075,504492471038,370778730
Wed Jul 24 20:01:01 EEST 2019,43867238402,77745574,515991432507,378668776
Wed Jul 24 21:01:01 EEST 2019,44199715033,78511038,526093801103,385652330
Wed Jul 24 22:01:01 EEST 2019,44300589929,79084345,537740188142,393594817
Wed Jul 24 23:01:01 EEST 2019,44443866692,79680704,546775947078,399837296
Thu Jul 25 00:01:01 EEST 2019,44567328105,80235429,558864951014,408009497
Thu Jul 25 01:01:01 EEST 2019,44645720482,80685577,569839188752,415377531
Thu Jul 25 02:01:01 EEST 2019,44719559697,81157556,581935335036,423484318
Thu Jul 25 03:01:01 EEST 2019,44789745219,81627261,594061465789,431609171
Thu Jul 25 04:01:01 EEST 2019,44861056325,82065404,606205103516,439746567
Thu Jul 25 05:01:01 EEST 2019,44930909935,82532773,618324615223,447865956
Thu Jul 25 06:01:01 EEST 2019,45000029415,82990428,630415197752,455962618
Thu Jul 25 07:01:01 EEST 2019,45073366591,83451218,642434071375,464014711
Thu Jul 25 08:01:01 EEST 2019,45157646137,83946672,654473041946,472100571
Thu Jul 25 09:01:01 EEST 2019,45911446347,84994220,667162842548,480735379
Thu Jul 25 10:01:01 EEST 2019,46171051323,85686502,679162029209,488895759
Thu Jul 25 11:01:01 EEST 2019,46635852628,86542400,691049968368,497008152
Thu Jul 25 12:01:01 EEST 2019,46826725940,87232363,702987225084,505164936
Thu Jul 25 13:01:01 EEST 2019,47026274790,87966507,714351854080,512950426
Thu Jul 25 14:01:01 EEST 2019,47154798650,88555756,725993587179,520830071
Thu Jul 25 15:01:01 EEST 2019,47259174086,89087885,737723219261,528722221
Thu Jul 25 16:01:01 EEST 2019,47313147947,89505705,749336762777,536482846
Thu Jul 25 17:01:01 EEST 2019,47992914926,90382844,760566851557,544051037
Thu Jul 25 18:01:01 EEST 2019,48060173955,90848164,771456567708,551389874
Thu Jul 25 19:01:01 EEST 2019,48122447114,91309795,782505474692,558837919
Thu Jul 25 20:01:01 EEST 2019,48182372018,91769543,794197523274,566682219
Thu Jul 25 21:01:01 EEST 2019,48238416119,92186959,804645371359,573697382
Thu Jul 25 22:01:01 EEST 2019,48286352960,92559357,814485694090,580289319
Thu Jul 25 23:01:01 EEST 2019,48339638663,92987670,826210941327,588124925
Fri Jul 26 00:01:01 EEST 2019,48395286990,93417442,838119752172,596078212
Fri Jul 26 01:01:01 EEST 2019,48441840445,93811481,849776733733,603846520
Fri Jul 26 02:01:01 EEST 2019,48489001185,94214916,861628480175,611742167
Fri Jul 26 03:01:01 EEST 2019,48536194150,94619140,873537368425,619675864
Fri Jul 26 04:01:01 EEST 2019,48581423977,94992433,884327433519,626871934
Fri Jul 26 05:01:01 EEST 2019,48629010313,95398142,896244339926,634812166
Fri Jul 26 06:01:01 EEST 2019,48676294992,95803096,908171930985,642757348
Fri Jul 26 07:01:01 EEST 2019,48725649648,96203796,920026496550,650657582
Fri Jul 26 08:01:01 EEST 2019,48774786278,96611205,932123506664,658718285
Fri Jul 26 09:01:01 EEST 2019,48899059514,97048939,943805282605,666507749
Fri Jul 26 10:01:01 EEST 2019,48946941390,97448680,955576626568,674352676
Fri Jul 26 11:01:01 EEST 2019,48994847715,97848131,967097078807,682033333
Fri Jul 26 12:01:01 EEST 2019,49147173220,98473739,978886157200,690065459
Fri Jul 26 13:01:01 EEST 2019,49503935353,99443925,990987102298,698525086
Fri Jul 26 14:01:01 EEST 2019,49628842871,100037758,1002062213887,706092294
Fri Jul 26 15:01:01 EEST 2019,49846649224,100730975,1013425516781,713846718
Fri Jul 26 16:01:01 EEST 2019,50053053021,101397789,1024359866106,721314119
Fri Jul 26 17:01:01 EEST 2019,50113464650,101858317,1035853708210,729048779
Fri Jul 26 18:01:01 EEST 2019,50302936026,102522793,1047657431414,737052685
Fri Jul 26 19:01:01 EEST 2019,50370311330,102969836,1059352548779,744890638
Fri Jul 26 20:01:01 EEST 2019,50418068733,103372469,1071108941918,752724202
Fri Jul 26 21:01:01 EEST 2019,50465230750,103773806,1082881136861,760567938
Fri Jul 26 22:01:01 EEST 2019,50511110428,104153644,1093954238023,767948624
Fri Jul 26 23:01:02 EEST 2019,50558167833,104555973,1105779414563,775825092
Sat Jul 27 00:01:01 EEST 2019,50604847186,104949007,1117535233240,783656459
Sat Jul 27 01:01:01 EEST 2019,50651734787,105346120,1129445457074,791589680
Sat Jul 27 02:01:01 EEST 2019,50700870299,105757801,1141401057244,799557308
Sat Jul 27 03:01:01 EEST 2019,50748188894,106161201,1153331287866,807504032
Sat Jul 27 04:01:01 EEST 2019,50795810039,106567979,1165297475870,815475095
Sat Jul 27 05:01:01 EEST 2019,50843077770,106969242,1176984972066,823262751
Sat Jul 27 06:01:01 EEST 2019,50890241186,107367759,1188615156655,831012850
Sat Jul 27 07:01:01 EEST 2019,50936908155,107753321,1200100353931,838667288
Sat Jul 27 08:01:01 EEST 2019,50984378187,108157662,1212054850939,846631338
Sat Jul 27 09:01:01 EEST 2019,51031345086,108556445,1223933172407,854546094
Sat Jul 27 10:01:01 EEST 2019,51080643469,108959955,1235767173455,862433283
Sat Jul 27 11:01:01 EEST 2019,51176506077,109460490,1247803812263,870500117
Sat Jul 27 12:01:01 EEST 2019,51225534102,109869258,1259695854580,878424262
Sat Jul 27 13:01:01 EEST 2019,51272582650,110267418,1271308041893,886161290
Sat Jul 27 14:01:01 EEST 2019,51316907000,110625748,1282034510776,893308459
Sat Jul 27 15:01:01 EEST 2019,51383280327,111013939,1293035050174,900643993
Sat Jul 27 16:01:02 EEST 2019,51431388139,111408477,1304738138964,908435667
Sat Jul 27 17:01:01 EEST 2019,51477744802,111799639,1316386894267,916191124
Sat Jul 27 18:01:01 EEST 2019,51519527211,112124085,1325572618922,922320039
Sat Jul 27 19:01:01 EEST 2019,97295386019,143472310,1344079297242,936970235
Sat Jul 27 20:01:01 EEST 2019,97721632344,146189279,1425515513972,991670729
Sat Jul 27 21:01:01 EEST 2019,98035385885,148219106,1486995533615,1032909433
Sat Jul 27 22:01:01 EEST 2019,140656690732,177376247,1503555721374,1046014380
Sat Jul 27 23:01:01 EEST 2019,182685562669,206092925,1519225957897,1058681225
Sun Jul 28 00:01:01 EEST 2019,182732400599,206464777,1530095830444,1065922175
Sun Jul 28 01:01:01 EEST 2019,182777250604,206838464,1541903337531,1073780507
Sun Jul 28 02:01:01 EEST 2019,182822844011,207225817,1553722321410,1081646278
Sun Jul 28 03:01:01 EEST 2019,182868625255,207614653,1565563339999,1089525832
Sun Jul 28 04:01:01 EEST 2019,182915701261,208012795,1577537165153,1097493481
Sun Jul 28 05:01:01 EEST 2019,182962056356,208403496,1589457592905,1105426334
Sun Jul 28 06:01:01 EEST 2019,183008488464,208798564,1601372283667,1113357966
Sun Jul 28 07:01:01 EEST 2019,183051265689,209135129,1611483980356,1120095772
Sun Jul 28 08:01:01 EEST 2019,183097954558,209524775,1623353421324,1127993985
Sun Jul 28 09:01:01 EEST 2019,183143757713,209914879,1635245848631,1135906782
Sun Jul 28 10:01:01 EEST 2019,183211317510,210324533,1647281595326,1143923336
Sun Jul 28 11:01:01 EEST 2019,183257351825,210711071,1659092842811,1151782525
Sun Jul 28 12:01:01 EEST 2019,183303635103,211106762,1670914418979,1159649111
Sun Jul 28 13:01:01 EEST 2019,183374254046,211580893,1682989029380,1167742294
Sun Jul 28 14:01:01 EEST 2019,183441423492,212066005,1694845728228,1175721781
Sun Jul 28 15:01:01 EEST 2019,183524299857,212538762,1706740234837,1183695729
Sun Jul 28 16:01:02 EEST 2019,183579386486,212986460,1718629928246,1191658642
Sun Jul 28 17:01:01 EEST 2019,183633150879,213417957,1730082424969,1199327767
Sun Jul 28 18:01:01 EEST 2019,183937449414,214041812,1741800989895,1207207111
Sun Jul 28 19:01:01 EEST 2019,183990917699,214471356,1753508922152,1215043899
Sun Jul 28 20:01:01 EEST 2019,184044500008,214900653,1765006713173,1222742449
Sun Jul 28 21:01:01 EEST 2019,184098036471,215329599,1776600886490,1230505131
Sun Jul 28 22:01:01 EEST 2019,184152144081,215768754,1788349063247,1238370155
Sun Jul 28 23:01:01 EEST 2019,230367620239,248489293,1845951267404,1279319036
Mon Jul 29 00:01:01 EEST 2019,272285297862,277986295,1891187486119,1311602114
Mon Jul 29 01:01:01 EEST 2019,345559367193,327838544,1911531782880,1328595962
Mon Jul 29 02:01:01 EEST 2019,345642145047,328279260,1923430360895,1336534476
Mon Jul 29 03:01:01 EEST 2019,345689735685,328680262,1935414491145,1344510887
Mon Jul 29 04:01:01 EEST 2019,345736360819,329078792,1947368527045,1352468466
Mon Jul 29 05:01:01 EEST 2019,345784444510,329471031,1959244241668,1360372619
Mon Jul 29 06:01:01 EEST 2019,345830449752,329846699,1971089573164,1368256277
Mon Jul 29 07:01:01 EEST 2019,345877416300,330234927,1982934791938,1376139360
Mon Jul 29 08:01:01 EEST 2019,345923448971,330629013,1994750313117,1384002151
Mon Jul 29 09:01:01 EEST 2019,345969049095,331015931,2006527603349,1391839247
Mon Jul 29 10:01:01 EEST 2019,346049604373,331463970,2018276171346,1399689769
Mon Jul 29 11:01:01 EEST 2019,346170587396,331994477,2029359620103,1407175256
Mon Jul 29 12:01:01 EEST 2019,346229361181,332381426,2040883360349,1414885306
Mon Jul 29 13:01:01 EEST 2019,346338124897,332856431,2051426004541,1421991920
Mon Jul 29 14:01:01 EEST 2019,346408731803,333309622,2062339858567,1429331446
Mon Jul 29 15:01:01 EEST 2019,346556769072,333868936,2073832150335,1437073917
Mon Jul 29 16:01:01 EEST 2019,346903341159,334586285,2085203323585,1444827010
Mon Jul 29 17:01:01 EEST 2019,347612272376,335558111,2097115027982,1452908102
Mon Jul 29 18:01:02 EEST 2019,347802817968,336217484,2107996662656,1460332188
Mon Jul 29 19:01:01 EEST 2019,347988748768,336904951,2119777414874,1468355268
Mon Jul 29 20:01:01 EEST 2019,348106368807,337466556,2131666581566,1476380467
Mon Jul 29 21:01:01 EEST 2019,348184726805,337951505,2143175183267,1484133034
Mon Jul 29 22:01:01 EEST 2019,348241472880,338392868,2154672829422,1491847265
Mon Jul 29 23:01:01 EEST 2019,348327681523,338769964,2163379023320,1497697182
Tue Jul 30 00:01:01 EEST 2019,348405558501,339191092,2173830364507,1504717169
Tue Jul 30 01:01:01 EEST 2019,348460467785,339583767,2184187731546,1511654872
Tue Jul 30 02:01:01 EEST 2019,348511748903,339982603,2195170209112,1518995073
Tue Jul 30 03:01:01 EEST 2019,348563366383,340390289,2206581731886,1526616154
Tue Jul 30 04:01:01 EEST 2019,348610788700,340735010,2216064967000,1532961072
Tue Jul 30 05:01:01 EEST 2019,348663258395,341155319,2227874623911,1540845636
Tue Jul 30 06:01:01 EEST 2019,348715808997,341568945,2239420889717,1548555875
Tue Jul 30 07:01:01 EEST 2019,348819593573,342382897,2260302777817,1562498284
Tue Jul 30 08:01:01 EEST 2019,348865593540,342770339,2272143819081,1570379550
Tue Jul 30 09:01:01 EEST 2019,348911937747,343157531,2283684245857,1578063287
Tue Jul 30 10:01:01 EEST 2019,359601511041,352068159,2304694595218,1592608420
Tue Jul 30 11:01:01 EEST 2019,359667287372,352505375,2316414787708,1600446536
Tue Jul 30 12:01:01 EEST 2019,359741614138,352970606,2328077204067,1608258893
Tue Jul 30 13:01:01 EEST 2019,359844111620,353491897,2339767435230,1616122725
Tue Jul 30 14:01:01 EEST 2019,360087091150,354360093,2354763027626,1626284626
Tue Jul 30 15:01:01 EEST 2019,360282246390,354987167,2365221203533,1633424802
Tue Jul 30 16:01:01 EEST 2019,360418978970,355563329,2376181699227,1640853391
Tue Jul 30 17:01:01 EEST 2019,360474494678,355966965,2386649593644,1647878175
Tue Jul 30 18:01:01 EEST 2019,360568754474,356498974,2398043004521,1655588452
Tue Jul 30 19:01:01 EEST 2019,360735383858,357098925,2407780839967,1662242279
Tue Jul 30 20:01:01 EEST 2019,360890660160,358033814,2428314022073,1676163709
Tue Jul 30 21:01:01 EEST 2019,360934189933,358379197,2438558576323,1682990603
Tue Jul 30 22:01:01 EEST 2019,361003071039,358813532,2450469212058,1690949578
Tue Jul 30 23:01:01 EEST 2019,361051889848,359177518,2460284210328,1697520575
Wed Jul 31 00:01:01 EEST 2019,361105615307,359599793,2472226098616,1705496428
Wed Jul 31 01:01:01 EEST 2019,361168406889,360034021,2484135347334,1713451521
Wed Jul 31 02:01:01 EEST 2019,361221214829,360454053,2495749401255,1721210925
Wed Jul 31 03:01:01 EEST 2019,361274616326,360885535,2507762885093,1729234213
Wed Jul 31 04:01:01 EEST 2019,361328045701,361316798,2519793984451,1737269377
Wed Jul 31 05:01:01 EEST 2019,361378108498,361698301,2530333232242,1744317750
Wed Jul 31 06:01:01 EEST 2019,361430653813,362117932,2542338853286,1752332737
Wed Jul 31 07:01:01 EEST 2019,361481134300,362499575,2554199262459,1760249080
Wed Jul 31 08:01:01 EEST 2019,361533412541,362915852,2566134627031,1768215934
Wed Jul 31 09:01:01 EEST 2019,361658805171,363437203,2577590569231,1775914474
Wed Jul 31 10:01:01 EEST 2019,361858664442,364122885,2589537076426,1784022832
Wed Jul 31 11:01:01 EEST 2019,362149218107,364911256,2601455575580,1792122598
Wed Jul 31 12:01:01 EEST 2019,362251251552,365403642,2613040239309,1799893733
Wed Jul 31 13:01:01 EEST 2019,362420842354,366000683,2624252435928,1807496090
Wed Jul 31 14:01:01 EEST 2019,364686063236,368123031,2638790239417,1817409725
Wed Jul 31 15:01:02 EEST 2019,365079602063,368936425,2652702764729,1826832684
Wed Jul 31 16:01:01 EEST 2019,365177432563,369456471,2664348074553,1834695563
Wed Jul 31 17:01:01 EEST 2019,365232999028,369887549,2676167981142,1842611389
Wed Jul 31 18:01:01 EEST 2019,365293877204,370353535,2687459624448,1850210510
Wed Jul 31 19:01:01 EEST 2019,365353690375,370769073,2697668111553,1857099353
Wed Jul 31 20:01:01 EEST 2019,365408073170,371193271,2709295942383,1864879381
Wed Jul 31 21:01:01 EEST 2019,365462983027,371617578,2721033973812,1872719426
Wed Jul 31 22:01:01 EEST 2019,365519600426,372025045,2731902534702,1879989799
Wed Jul 31 23:01:01 EEST 2019,365571496848,372430879,2743349802116,1887638566
Thu Aug  1 00:01:01 EEST 2019,365624301027,372834667,2754478285894,1895076450
Thu Aug  1 01:01:01 EEST 2019,365690500767,373282691,2766469862536,1903093982
Thu Aug  1 02:01:01 EEST 2019,365913015078,373819336,2778588727243,1911190795
Thu Aug  1 03:01:01 EEST 2019,365965119931,374229782,2789968251519,1918794517
Thu Aug  1 04:01:01 EEST 2019,366018639144,374661925,2802022253959,1926844269
Thu Aug  1 05:01:01 EEST 2019,366071889692,375091272,2814107658617,1934913615
Thu Aug  1 06:01:02 EEST 2019,366122612957,375481985,2825779323405,1942709382
Thu Aug  1 07:01:01 EEST 2019,366185292094,375906886,2837648037966,1950637531
Thu Aug  1 08:01:01 EEST 2019,366238989046,376337777,2849646063209,1958651117
Thu Aug  1 09:01:01 EEST 2019,366292047817,376764272,2861612902849,1966640804
Thu Aug  1 10:01:01 EEST 2019,366343255122,377164737,2872702928595,1974050016
Thu Aug  1 11:01:01 EEST 2019,366396653023,377571777,2884170452825,1981709276
Thu Aug  1 12:01:01 EEST 2019,366449050399,377985628,2895669403881,1989390245
Thu Aug  1 13:01:01 EEST 2019,366504973667,378401614,2906735635346,1996798594
Thu Aug  1 14:01:01 EEST 2019,366554976307,378780728,2917152804422,2003764706
Thu Aug  1 15:01:01 EEST 2019,366627999969,379218031,2928159267611,2011139766
Thu Aug  1 16:01:01 EEST 2019,367100526602,380376316,2940117466293,2019907956
Thu Aug  1 17:01:01 EEST 2019,367191372232,380882032,2951213020600,2027402416
Thu Aug  1 18:01:01 EEST 2019,367310911414,381451934,2962942808129,2035332666
Thu Aug  1 19:01:01 EEST 2019,367375805525,381891626,2974455856900,2043037774
Thu Aug  1 20:01:01 EEST 2019,368825569519,383858109,2993598503682,2056073342
Thu Aug  1 21:01:01 EEST 2019,371656537546,386398852,3008117115194,2066010995
Thu Aug  1 22:01:01 EEST 2019,371782631917,386884274,3017283157192,2072225228
Thu Aug  1 23:01:01 EEST 2019,371858461760,387342270,3028251823168,2079605196
Fri Aug  2 00:01:01 EEST 2019,371979211709,387844498,3038973533808,2086849176
Fri Aug  2 01:01:01 EEST 2019,372169626063,388432025,3051024830163,2094951856
Fri Aug  2 02:01:01 EEST 2019,372295804972,388971763,3063089143482,2103055593
Fri Aug  2 03:01:01 EEST 2019,372349376414,389393083,3075154877040,2111109341
Fri Aug  2 04:01:01 EEST 2019,372401918509,389813754,3087210160585,2119154755
Fri Aug  2 05:01:01 EEST 2019,372453794146,390223641,3098940693916,2126986147
Fri Aug  2 06:01:01 EEST 2019,372506269517,390643943,3110807444502,2134906567
Fri Aug  2 07:01:01 EEST 2019,372559638125,391070552,3122784448581,2142902379
Fri Aug  2 08:01:01 EEST 2019,372612311721,391492236,3134671316132,2150837300
Fri Aug  2 09:01:01 EEST 2019,372691383937,391970915,3146500569690,2158771957
Fri Aug  2 10:01:01 EEST 2019,372818781624,392548933,3158179221070,2166673757
Fri Aug  2 11:01:01 EEST 2019,372994267250,393222233,3169655036658,2174465192
Fri Aug  2 12:01:01 EEST 2019,374159859982,395065005,3187743004546,2186896962
Fri Aug  2 13:01:01 EEST 2019,374378476578,395720168,3199268523300,2194699099
Fri Aug  2 14:01:01 EEST 2019,374450151473,396165383,3210410012931,2202193553
Fri Aug  2 15:01:01 EEST 2019,374565995434,396664633,3220812367471,2209238403
Fri Aug  2 16:01:01 EEST 2019,374660375606,397202837,3232091317403,2216890262
Fri Aug  2 17:01:01 EEST 2019,374744868153,397689256,3242543531230,2223970758
Fri Aug  2 18:01:01 EEST 2019,374817977320,398166889,3254362958292,2231919555
Fri Aug  2 19:01:01 EEST 2019,374887668005,398584654,3264618917178,2238832308
Fri Aug  2 20:01:01 EEST 2019,375093707773,400243626,3303846428606,2265058134
Fri Aug  2 21:01:01 EEST 2019,375148655530,400689936,3315902314436,2273126096
Fri Aug  2 22:01:01 EEST 2019,375210861855,401106833,3326928143632,2280527090
Fri Aug  2 23:01:01 EEST 2019,375333867542,401617692,3338394522529,2288235352
Sat Aug  3 00:01:01 EEST 2019,375417052178,402081868,3350474627200,2296308152
Sat Aug  3 01:01:01 EEST 2019,375474056685,402490665,3362514968867,2304322840
Sat Aug  3 02:01:01 EEST 2019,375528540474,402898280,3374580674663,2312359876
Sat Aug  3 03:01:01 EEST 2019,375581046917,403317372,3386585251645,2320366814
Sat Aug  3 04:01:01 EEST 2019,375628841292,403726370,3398706448247,2328438747
Sat Aug  3 05:01:01 EEST 2019,375676679369,404134671,3410816495980,2336503476
Sat Aug  3 06:01:01 EEST 2019,375780743376,404612637,3422958460669,2344614269
Sat Aug  3 07:01:01 EEST 2019,375833137370,404978678,3434475606473,2352281580
Sat Aug  3 08:01:01 EEST 2019,375879216048,405366709,3446430168183,2360236117
Sat Aug  3 09:01:01 EEST 2019,375925878997,405763687,3458465537982,2368244302
Sat Aug  3 10:01:01 EEST 2019,375976406874,406190777,3470448084339,2376283702
Sat Aug  3 11:01:01 EEST 2019,376052274540,406600462,3482559458361,2384366668
Sat Aug  3 12:01:01 EEST 2019,376098667368,406991120,3494621225860,2392392694
Sat Aug  3 13:01:01 EEST 2019,376145544054,407390574,3506680725890,2400417682
